start_date_local,name,moving_time,total_elevation_gain,average_speed,average_heartrate,max_heartrate,time of day
"42,948.88",Night Ride,00:38:00,81.8,7.241,145.4,244,0.88
"42,948.32",Morning Run,00:30:03,56.9,3.639,136.9,168,0.32
"42,947.31",Morning Run,00:29:55,60.6,3.603,141.7,181,0.31
"42,943.78",Evening Ride,00:15:00,29.7,5.936,99.6,123,0.78
"42,943.75",Afternoon Ride,00:18:25,45.3,5.013,99.7,139,0.75
"42,943.32",Morning ride,00:49:45,130.7,6.737,127.2,170,0.32
"42,942.32",Got lost,01:09:12,176.7,5.959,123,204,0.32
"42,941.32",Ride,00:49:25,134.3,6.824,131.9,222,0.32
"42,940.36",Spin,00:46:30,121.1,6.438,120.6,148,0.36
"42,937.33",Morning commute,00:40:12,104.9,6.667,136.7,167,0.33
"42,936.79",Evening Ride,01:01:11,197.1,7.826,162.7,250,0.79
"42,935.81",2 laps + hill,00:58:27,128.8,3.668,140.8,159,0.81
"42,934.31",1/2,00:27:13,58.3,3.545,138.4,183,0.31
"42,933.82",Parliament hill,00:52:22,121.6,3.794,140.2,177,0.82
"42,931.93",Night Tempo,00:45:31,83.3,4.033,148.3,170,0.93
"42,928.77",Evening Run,00:49:23,99.2,3.777,148.1,172,0.77
"42,927.83",supawet,00:52:36,110.9,3.504,138.4,170,0.83
"42,926.31",Run commute No1!,00:41:21,46.4,3.525,144.9,158,0.31
"42,925.48",SLR. Î”m = -2.4kg,01:29:33,289.1,3.77,152.5,168,0.48
"42,924.85",duex laps,00:50:05,98.5,3.766,144.7,154,0.85
"42,921.81",Feeling good,00:51:45,105.4,3.734,147,157,0.81
"42,919.84",Clockwise,00:55:13,113.2,3.638,144.1,156,0.84
"42,918.77",Regents,00:56:48,105.9,3.805,143.1,155,0.77
"42,915.81",CD,00:06:19,8,3.604,145,153,0.81
"42,915.79",WU + 5k Tempo,00:26:10,27.7,4.366,162.2,181,0.79
"42,914.75",Afternoon Run,00:38:10,33.6,3.635,141.1,168,0.75
"42,914.40",Morning run + strides,00:47:10,44.7,3.589,149.5,176,0.40
"42,912.75",easy,00:57:16,47.6,3.62,141.5,175,0.75
"42,911.83",SLR ,01:16:08,80.9,3.974,152,183,0.83
"42,908.73",slow poke,00:39:09,37.4,3.513,138.1,153,0.73
"42,907.82",Summer begins here ,00:45:17,33.9,3.715,149.2,159,0.82
"42,898.80",Post-dinner shuffle,00:03:00,0,3.552,137.7,144,0.80
"42,898.70",60',01:01:23,54.2,3.646,152.2,164,0.70
"42,893.30",Grantchester,00:53:54,41.2,3.554,146.7,174,0.30
"42,892.71",Afternoon Run,00:48:56,60.9,3.674,147.1,170,0.71
"42,891.77",Evening Run,00:03:02,0,3.665,145.7,152,0.77
"42,891.71",out with da bois,00:43:53,41.1,3.769,149.3,165,0.71